Step,AliveRuns,AvgCommitters,AvgContributors
756,2215,4.11,4.96
757,2215,4.12,4.97
758,2215,4.12,4.97
759,2214,4.12,4.98
760,2214,4.13,4.99
761,2214,4.13,4.99
762,2214,4.14,5.00
763,2214,4.14,5.00
764,2214,4.15,5.01
765,2214,4.15,5.01
766,2214,4.15,5.02
767,2214,4.16,5.03
768,2214,4.16,5.03
769,2214,4.17,5.03
770,2214,4.17,5.04
771,2214,4.17,5.04
772,2213,4.18,5.05
773,2212,4.19,5.05
774,2212,4.19,5.06
775,2211,4.20,5.07
776,2211,4.20,5.07
777,2211,4.21,5.08
778,2211,4.21,5.08
779,2211,4.21,5.09
780,2211,4.22,5.09
781,2211,4.22,5.09
782,2211,4.23,5.10
783,2211,4.23,5.11
784,2211,4.23,5.11
785,2211,4.24,5.12
786,2210,4.24,5.13
787,2210,4.25,5.14
788,2210,4.25,5.14
789,2210,4.26,5.14
790,2210,4.26,5.15
791,2210,4.27,5.16
792,2210,4.27,5.16
793,2209,4.28,5.17
794,2209,4.28,5.18
795,2209,4.29,5.18
796,2208,4.29,5.19
797,2208,4.30,5.19
798,2208,4.30,5.20
799,2208,4.30,5.20
800,2208,4.31,5.21
801,2208,4.31,5.22
802,2208,4.32,5.22
803,2208,4.32,5.22
804,2208,4.33,5.23
805,2207,4.34,5.23
806,2207,4.34,5.23
807,2207,4.35,5.23
808,2207,4.35,5.24
809,2207,4.36,5.25
810,2207,4.36,5.25
811,2207,4.36,5.26
812,2206,4.37,5.26
813,2206,4.37,5.27
814,2206,4.38,5.27
815,2206,4.38,5.28
816,2206,4.39,5.28
817,2206,4.39,5.28
818,2206,4.40,5.29
819,2206,4.40,5.30
820,2206,4.41,5.30
821,2206,4.41,5.31
822,2206,4.41,5.31
823,2206,4.42,5.32
824,2206,4.42,5.33
825,2206,4.43,5.33
826,2205,4.43,5.34
827,2205,4.43,5.35
828,2204,4.44,5.35
829,2203,4.44,5.36
830,2203,4.45,5.37
831,2203,4.45,5.38
832,2203,4.46,5.39
833,2203,4.46,5.39
834,2203,4.46,5.40
835,2203,4.46,5.41
836,2203,4.47,5.42
837,2203,4.47,5.42
838,2203,4.48,5.43
839,2203,4.48,5.43
840,2203,4.49,5.43
841,2203,4.49,5.44
842,2203,4.50,5.45
843,2203,4.50,5.45
844,2203,4.50,5.45
845,2203,4.51,5.46
846,2203,4.51,5.46
847,2203,4.52,5.48
848,2202,4.52,5.48
849,2202,4.53,5.49
850,2202,4.53,5.49
851,2202,4.54,5.50
852,2202,4.54,5.50
853,2202,4.55,5.51
854,2201,4.55,5.51
855,2201,4.56,5.52
856,2201,4.56,5.53
857,2201,4.57,5.53
858,2201,4.57,5.54
859,2201,4.57,5.54
860,2201,4.58,5.55
861,2201,4.58,5.56
862,2201,4.59,5.56
863,2201,4.59,5.57
864,2201,4.59,5.57
865,2201,4.60,5.58
866,2201,4.60,5.58
867,2201,4.61,5.58
868,2201,4.61,5.59
869,2201,4.61,5.60
870,2201,4.62,5.61
871,2201,4.63,5.61
872,2200,4.63,5.61
873,2199,4.64,5.61
874,2199,4.64,5.62
875,2199,4.64,5.63
876,2199,4.65,5.63
877,2199,4.65,5.63
878,2198,4.66,5.64
879,2197,4.66,5.65
880,2197,4.67,5.65
881,2197,4.68,5.65
882,2197,4.68,5.66
883,2197,4.69,5.66
884,2197,4.69,5.67
885,2197,4.69,5.67
886,2196,4.70,5.68
887,2196,4.70,5.68
888,2196,4.71,5.68
889,2195,4.71,5.69
890,2195,4.71,5.69
891,2194,4.72,5.70
892,2194,4.72,5.71
893,2194,4.72,5.72
894,2194,4.73,5.72
895,2194,4.73,5.73
896,2194,4.73,5.74
897,2194,4.74,5.74
898,2194,4.75,5.74
899,2194,4.75,5.75
900,2194,4.75,5.76
901,2194,4.76,5.76
902,2194,4.76,5.77
903,2194,4.76,5.78
904,2194,4.77,5.78
905,2194,4.77,5.79
906,2194,4.78,5.80
907,2194,4.78,5.81
908,2194,4.78,5.81
909,2194,4.79,5.82
910,2194,4.79,5.82
911,2194,4.80,5.84
912,2194,4.80,5.84
913,2194,4.80,5.84
914,2194,4.81,5.85
915,2194,4.82,5.85
916,2194,4.82,5.86
917,2193,4.83,5.87
918,2193,4.83,5.88
919,2193,4.83,5.88
920,2193,4.84,5.88
921,2193,4.84,5.88
922,2193,4.85,5.89
923,2193,4.85,5.90
924,2193,4.85,5.90
925,2193,4.86,5.91
926,2193,4.86,5.92
927,2193,4.87,5.93
928,2193,4.87,5.93
929,2193,4.87,5.94
930,2193,4.88,5.94
931,2193,4.89,5.94
932,2193,4.89,5.95
933,2193,4.90,5.95
934,2193,4.90,5.95
935,2193,4.91,5.96
936,2193,4.91,5.96
937,2193,4.92,5.96
938,2193,4.92,5.97
939,2193,4.92,5.98
940,2193,4.93,5.99
941,2193,4.93,5.99
942,2193,4.94,6.00
943,2193,4.94,6.00
944,2193,4.94,6.01
945,2193,4.94,6.02
946,2193,4.95,6.02
947,2193,4.95,6.03
948,2193,4.95,6.04
949,2193,4.96,6.04
950,2193,4.96,6.04
951,2193,4.97,6.05
952,2193,4.97,6.05
953,2193,4.98,6.05
954,2193,4.98,6.06
955,2193,4.99,6.07
956,2193,4.99,6.07
957,2192,5.00,6.08
958,2192,5.00,6.08
959,2192,5.01,6.09
960,2192,5.01,6.09
961,2192,5.01,6.10
962,2192,5.02,6.10
963,2192,5.02,6.10
964,2192,5.03,6.11
965,2192,5.03,6.11
966,2192,5.04,6.12
967,2192,5.04,6.12
968,2192,5.04,6.13
969,2192,5.05,6.13
970,2192,5.05,6.14
971,2192,5.06,6.14
972,2192,5.06,6.15
973,2192,5.07,6.15
974,2192,5.07,6.16
975,2192,5.07,6.17
976,2192,5.08,6.17
977,2192,5.08,6.18
978,2192,5.09,6.18
979,2192,5.09,6.19
980,2192,5.10,6.20
981,2192,5.10,6.21
982,2192,5.11,6.21
983,2192,5.11,6.22
984,2192,5.12,6.22
985,2192,5.12,6.23
986,2192,5.12,6.23
987,2192,5.13,6.23
988,2192,5.13,6.24
989,2192,5.13,6.25
990,2191,5.14,6.26
991,2191,5.14,6.27
992,2191,5.14,6.27
993,2191,5.15,6.28
994,2191,5.15,6.28
995,2190,5.16,6.29
996,2190,5.16,6.29
997,2190,5.16,6.30
998,2190,5.17,6.30
999,2190,5.17,6.31
1000,2190,5.18,6.32
1001,2190,5.18,6.32
1002,2190,5.18,6.33
1003,2190,5.19,6.33
1004,2190,5.19,6.34
1005,2190,5.20,6.34
1006,2190,5.20,6.35
1007,2190,5.20,6.36
1008,2190,5.21,6.36
1009,2190,5.21,6.37
1010,2190,5.22,6.38
1011,2190,5.22,6.39
1012,2190,5.23,6.40
1013,2190,5.23,6.40
1014,2190,5.24,6.41
1015,2190,5.24,6.41
1016,2190,5.25,6.41
1017,2190,5.25,6.42
1018,2190,5.25,6.42
1019,2190,5.26,6.43
1020,2190,5.26,6.43
1021,2190,5.26,6.44
1022,2190,5.27,6.45
1023,2189,5.28,6.45
1024,2189,5.28,6.46
1025,2189,5.28,6.46
1026,2189,5.28,6.47
1027,2189,5.29,6.47
1028,2189,5.29,6.48
1029,2188,5.30,6.48
1030,2188,5.31,6.49
1031,2188,5.31,6.49
1032,2188,5.32,6.49
1033,2188,5.32,6.50
1034,2188,5.33,6.50
1035,2188,5.33,6.51
1036,2188,5.34,6.51
1037,2187,5.34,6.51
1038,2187,5.35,6.52
1039,2187,5.35,6.52
1040,2187,5.35,6.53
1041,2187,5.36,6.54
1042,2187,5.36,6.55
1043,2187,5.36,6.55
1044,2187,5.37,6.56
1045,2187,5.37,6.56
