Step,AliveRuns,AvgCommitters,AvgContributors
337,8044,4.12,2.26
338,8044,4.13,2.27
339,8042,4.13,2.27
340,8042,4.13,2.28
341,8040,4.14,2.29
342,8038,4.14,2.30
343,8038,4.15,2.30
344,8037,4.15,2.30
345,8036,4.16,2.31
346,8036,4.16,2.32
347,8036,4.17,2.32
348,8033,4.17,2.33
349,8031,4.18,2.33
350,8030,4.18,2.34
351,8029,4.18,2.35
352,8027,4.19,2.35
353,8026,4.19,2.36
354,8022,4.20,2.37
355,8022,4.20,2.37
356,8021,4.20,2.38
357,8020,4.21,2.38
358,8019,4.21,2.39
359,8018,4.22,2.40
360,8017,4.22,2.40
361,8017,4.23,2.41
362,8017,4.23,2.41
363,8016,4.23,2.42
364,8016,4.24,2.43
365,8016,4.24,2.43
366,8015,4.25,2.44
367,8013,4.25,2.44
368,8011,4.25,2.45
369,8007,4.26,2.45
370,8007,4.26,2.46
371,8006,4.27,2.47
372,8006,4.27,2.47
373,8004,4.27,2.48
374,8003,4.28,2.48
375,8002,4.28,2.49
376,7999,4.29,2.50
377,7999,4.29,2.50
378,7999,4.29,2.51
379,7997,4.30,2.51
380,7996,4.31,2.52
381,7994,4.31,2.52
382,7994,4.32,2.53
383,7994,4.32,2.53
384,7994,4.32,2.54
385,7994,4.33,2.54
386,7993,4.33,2.55
387,7992,4.34,2.56
388,7991,4.34,2.56
389,7990,4.35,2.57
390,7989,4.35,2.57
391,7989,4.35,2.58
392,7988,4.36,2.59
393,7985,4.36,2.59
394,7985,4.37,2.59
395,7985,4.37,2.60
396,7984,4.38,2.60
397,7984,4.38,2.61
398,7984,4.39,2.61
399,7983,4.39,2.62
400,7983,4.40,2.62
401,7980,4.40,2.63
402,7979,4.40,2.63
403,7979,4.41,2.64
404,7978,4.41,2.65
405,7975,4.42,2.65
406,7972,4.42,2.66
407,7971,4.43,2.66
408,7970,4.43,2.67
409,7969,4.43,2.68
410,7968,4.44,2.68
411,7968,4.44,2.69
412,7966,4.45,2.69
413,7966,4.45,2.70
414,7964,4.46,2.70
415,7963,4.46,2.71
416,7963,4.47,2.72
417,7963,4.47,2.72
418,7963,4.48,2.73
419,7963,4.48,2.73
420,7961,4.48,2.74
421,7959,4.49,2.75
422,7957,4.49,2.75
423,7955,4.50,2.76
424,7953,4.50,2.77
425,7953,4.51,2.77
426,7951,4.51,2.78
427,7950,4.51,2.79
428,7949,4.52,2.79
429,7948,4.52,2.80
430,7945,4.53,2.80
431,7943,4.53,2.81
432,7942,4.54,2.81
433,7940,4.54,2.82
434,7939,4.55,2.83
435,7939,4.55,2.83
436,7938,4.56,2.83
437,7937,4.56,2.84
438,7933,4.57,2.84
439,7933,4.57,2.85
440,7933,4.58,2.86
441,7933,4.58,2.86
442,7933,4.59,2.87
443,7932,4.59,2.87
444,7932,4.60,2.88
445,7932,4.60,2.89
446,7931,4.61,2.89
447,7930,4.61,2.90
448,7929,4.62,2.90
449,7929,4.62,2.91
450,7928,4.63,2.91
451,7928,4.63,2.92
452,7927,4.64,2.92
453,7926,4.64,2.93
454,7925,4.65,2.93
455,7924,4.65,2.94
456,7924,4.65,2.95
457,7924,4.66,2.95
458,7924,4.66,2.96
459,7924,4.67,2.96
460,7924,4.67,2.97
461,7923,4.68,2.98
462,7922,4.68,2.98
463,7922,4.68,2.99
464,7922,4.69,2.99
465,7922,4.69,3.00
466,7921,4.70,3.00
467,7921,4.70,3.01
468,7921,4.70,3.02
469,7921,4.71,3.02
470,7920,4.71,3.03
471,7919,4.72,3.04
472,7919,4.72,3.04
473,7918,4.73,3.05
474,7918,4.73,3.05
475,7918,4.73,3.06
476,7917,4.74,3.07
477,7915,4.74,3.07
478,7914,4.75,3.07
479,7912,4.75,3.08
480,7912,4.76,3.08
481,7912,4.76,3.09
482,7912,4.77,3.10
483,7909,4.77,3.10
484,7907,4.77,3.11
485,7907,4.78,3.12
486,7906,4.78,3.12
487,7906,4.79,3.13
488,7906,4.79,3.13
489,7903,4.80,3.14
490,7902,4.80,3.14
491,7899,4.81,3.15
492,7898,4.81,3.16
493,7897,4.82,3.16
494,7896,4.82,3.17
495,7895,4.83,3.17
496,7894,4.83,3.18
497,7893,4.84,3.18
498,7893,4.84,3.19
499,7893,4.85,3.19
500,7893,4.85,3.19
501,7891,4.86,3.20
502,7891,4.86,3.21
503,7890,4.87,3.21
504,7890,4.87,3.21
505,7890,4.87,3.22
506,7890,4.88,3.23
507,7889,4.88,3.23
508,7888,4.89,3.24
509,7887,4.89,3.24
510,7887,4.90,3.25
511,7887,4.90,3.26
512,7886,4.91,3.26
513,7885,4.91,3.27
514,7884,4.92,3.28
515,7884,4.92,3.28
516,7884,4.93,3.29
517,7884,4.93,3.29
518,7884,4.93,3.30
519,7884,4.94,3.31
520,7884,4.94,3.31
521,7884,4.94,3.32
522,7883,4.95,3.33
523,7883,4.95,3.33
524,7883,4.96,3.33
525,7883,4.97,3.33
526,7883,4.97,3.34
527,7883,4.97,3.35
528,7883,4.98,3.35
529,7883,4.98,3.36
530,7883,4.99,3.36
531,7883,4.99,3.37
532,7882,5.00,3.37
533,7882,5.00,3.38
