Step,AliveRuns,AvgCommitters,AvgContributors
514,3993,36.33,67.59
515,3993,36.44,67.69
516,3993,36.54,67.80
517,3993,36.65,67.89
518,3993,36.75,67.99
519,3993,36.84,68.10
520,3993,36.96,68.19
521,3993,37.07,68.27
522,3993,37.17,68.36
523,3993,37.28,68.45
524,3993,37.38,68.55
525,3993,37.48,68.66
526,3993,37.58,68.77
527,3993,37.69,68.86
528,3993,37.80,68.94
529,3993,37.90,69.03
530,3993,38.01,69.13
531,3993,38.12,69.23
532,3993,38.23,69.32
533,3993,38.35,69.39
534,3993,38.45,69.48
535,3993,38.56,69.57
536,3993,38.66,69.67
537,3993,38.77,69.77
538,3993,38.87,69.86
539,3993,38.97,69.96
540,3993,39.07,70.05
541,3993,39.18,70.14
542,3993,39.27,70.24
543,3993,39.37,70.33
544,3993,39.47,70.42
545,3993,39.58,70.51
546,3993,39.69,70.61
547,3993,39.79,70.70
548,3993,39.89,70.80
549,3993,39.99,70.90
550,3993,40.09,70.99
551,3993,40.20,71.08
552,3993,40.30,71.18
553,3993,40.41,71.28
554,3993,40.51,71.37
555,3993,40.61,71.48
556,3993,40.72,71.57
557,3993,40.82,71.67
558,3993,40.92,71.77
559,3993,41.03,71.86
560,3993,41.13,71.96
561,3993,41.22,72.06
562,3993,41.33,72.16
563,3993,41.43,72.23
564,3993,41.53,72.33
565,3993,41.63,72.43
566,3993,41.73,72.52
567,3993,41.84,72.63
568,3993,41.93,72.73
569,3993,42.03,72.82
570,3993,42.14,72.92
571,3992,42.25,73.00
572,3992,42.34,73.11
573,3992,42.43,73.20
574,3992,42.54,73.28
575,3992,42.64,73.39
576,3992,42.74,73.50
577,3992,42.83,73.61
578,3992,42.94,73.70
579,3992,43.04,73.79
580,3992,43.14,73.90
581,3992,43.24,74.01
582,3992,43.33,74.10
583,3992,43.43,74.20
584,3992,43.53,74.29
585,3992,43.63,74.39
586,3992,43.73,74.49
587,3992,43.83,74.59
588,3992,43.93,74.69
589,3992,44.03,74.78
590,3992,44.14,74.86
591,3992,44.24,74.95
592,3992,44.35,75.05
593,3992,44.45,75.14
594,3992,44.56,75.24
595,3992,44.66,75.34
596,3992,44.76,75.44
597,3992,44.87,75.52
598,3992,44.97,75.63
599,3992,45.07,75.73
600,3992,45.17,75.83
601,3992,45.27,75.94
602,3992,45.37,76.03
603,3992,45.47,76.15
604,3992,45.57,76.25
605,3992,45.67,76.35
606,3992,45.77,76.45
607,3992,45.88,76.56
608,3992,45.97,76.66
609,3992,46.07,76.76
610,3992,46.17,76.87
611,3992,46.27,76.98
612,3992,46.39,77.06
613,3992,46.48,77.16
614,3992,46.58,77.26
615,3992,46.67,77.37
616,3992,46.78,77.46
617,3992,46.88,77.57
618,3992,46.98,77.67
619,3992,47.08,77.77
620,3992,47.18,77.89
621,3992,47.28,77.98
622,3992,47.37,78.10
623,3992,47.47,78.19
624,3992,47.58,78.27
625,3992,47.68,78.37
626,3992,47.78,78.47
627,3992,47.87,78.58
628,3992,47.97,78.66
629,3992,48.08,78.75
630,3992,48.17,78.84
631,3992,48.27,78.94
632,3992,48.37,79.05
633,3992,48.46,79.16
634,3992,48.56,79.26
635,3992,48.67,79.36
636,3992,48.76,79.47
637,3992,48.86,79.57
638,3992,48.96,79.67
639,3992,49.06,79.77
640,3992,49.16,79.87
641,3992,49.26,79.98
642,3992,49.35,80.09
643,3992,49.45,80.18
644,3992,49.55,80.29
645,3992,49.65,80.40
646,3992,49.74,80.50
647,3992,49.83,80.61
648,3991,49.94,80.71
649,3991,50.03,80.83
650,3991,50.14,80.93
651,3991,50.24,81.00
652,3991,50.34,81.12
653,3991,50.44,81.22
654,3991,50.54,81.31
655,3991,50.63,81.43
656,3991,50.73,81.52
657,3991,50.83,81.62
658,3991,50.93,81.72
659,3991,51.03,81.83
660,3991,51.12,81.94
661,3991,51.21,82.05
662,3991,51.32,82.15
663,3991,51.42,82.26
664,3991,51.53,82.35
665,3991,51.62,82.46
666,3991,51.71,82.57
667,3991,51.81,82.68
668,3991,51.90,82.78
669,3991,52.00,82.88
670,3991,52.10,82.98
671,3991,52.20,83.09
672,3991,52.30,83.19
673,3991,52.40,83.29
674,3991,52.49,83.39
675,3991,52.58,83.50
676,3991,52.69,83.60
677,3991,52.79,83.70
678,3991,52.88,83.82
679,3991,52.97,83.93
680,3991,53.08,84.02
681,3991,53.17,84.13
682,3991,53.27,84.23
683,3991,53.37,84.33
684,3991,53.46,84.45
685,3991,53.55,84.56
686,3991,53.65,84.66
687,3991,53.75,84.76
688,3991,53.85,84.87
689,3991,53.96,84.95
690,3991,54.05,85.06
691,3991,54.15,85.15
692,3991,54.24,85.25
693,3991,54.34,85.36
694,3991,54.44,85.48
695,3991,54.53,85.59
696,3991,54.63,85.69
697,3991,54.73,85.78
698,3991,54.83,85.89
699,3991,54.93,85.99
700,3991,55.02,86.10
701,3991,55.13,86.19
702,3991,55.22,86.30
703,3991,55.31,86.41
704,3991,55.40,86.52
705,3991,55.49,86.62
706,3991,55.58,86.73
707,3991,55.69,86.82
708,3991,55.79,86.92
709,3991,55.88,87.02
710,3991,55.99,87.12
